player,team,league,age,gls_per90,ast_per90,sh_per90,sot_pct,goals_per_shot,goals_per_sot,sot_per90
Ángelo Henríquez,La Serena,CHI-Primera Division,30,0.26,0.17,2.23,42.3,0.12,0.27,0.94
Arnaldo Castillo,O'Higgins,CHI-Primera Division,27,0.39,0.26,3.99,22.6,0.1,0.43,0.9
Esteban Calderón,O'Higgins,CHI-Primera Division,20,0.38,0.28,3.02,25.0,0.13,0.5,0.75
Martín Sarrafiore,O'Higgins,CHI-Primera Division,27,0.29,0.14,3.44,27.1,0.08,0.31,0.93
Maximiliano Romero,O'Higgins,CHI-Primera Division,26,0.64,0.27,3.1,32.4,0.18,0.55,1.0
Rodrigo Godoy,O'Higgins,CHI-Primera Division,19,0.0,0.22,1.75,15.6,0.0,0.0,0.27
Joe Abrigo,Palestino,CHI-Primera Division,29,0.36,0.15,2.26,32.3,0.16,0.5,0.73
Junior Arias,Palestino,CHI-Primera Division,31,0.45,0.0,2.24,43.3,0.17,0.38,0.97
Junior Marabel,Palestino,CHI-Primera Division,26,0.43,0.16,3.36,42.9,0.11,0.26,1.44
Clemente Montes,Universidad Católica,CHI-Primera Division,23,0.3,0.1,2.51,38.0,0.12,0.32,0.95
Diego Valencia,Universidad Católica,CHI-Primera Division,25,0.26,0.13,1.86,41.4,0.1,0.25,0.77
Eduard Bello,Universidad Católica,CHI-Primera Division,29,0.37,0.12,1.79,51.7,0.21,0.4,0.93
Fernando Zampedri,Universidad Católica,CHI-Primera Division,36,0.66,0.12,3.06,50.0,0.14,0.27,1.53
Jader,Universidad Católica,CHI-Primera Division,21,0.25,0.12,1.96,31.3,0.13,0.4,0.61
Israel Poblete,Universidad de Chile,CHI-Primera Division,29,0.05,0.05,1.32,16.0,0.04,0.25,0.21
Javier Urzúa,Universidad de Chile,CHI-Primera Division,25,0.25,0.1,1.84,29.7,0.14,0.45,0.55
Leandro Fernández,Universidad de Chile,CHI-Primera Division,33,0.46,0.26,4.73,31.9,0.08,0.26,1.51
Lucas Assadi,Universidad de Chile,CHI-Primera Division,21,0.44,0.65,3.05,35.7,0.14,0.4,1.09
Lucas Di Yorio,Universidad de Chile,CHI-Primera Division,28,0.62,0.05,3.64,40.0,0.17,0.43,1.45
Maximiliano Guerrero,Universidad de Chile,CHI-Primera Division,25,0.16,0.24,1.52,31.6,0.11,0.33,0.48
Nicolás Guerra,Universidad de Chile,CHI-Primera Division,26,0.28,0.28,3.88,41.5,0.07,0.18,1.61
Rodrigo Contreras,Universidad de Chile,CHI-Primera Division,29,0.87,0.1,4.28,38.6,0.16,0.41,1.65
Ariel Uribe,Unión Española,CHI-Primera Division,25,0.05,0.05,2.13,45.0,0.03,0.06,0.96
Fernando Ovelar,Unión Española,CHI-Primera Division,21,0.0,0.0,2.59,28.1,0.0,0.0,0.73
Franco Ratotti,Unión Española,CHI-Primera Division,19,0.14,0.27,2.47,22.2,0.06,0.25,0.55
Ignacio Jeraldino,Unión Española,CHI-Primera Division,29,0.28,0.09,2.45,35.8,0.09,0.26,0.88
Pablo Aránguiz,Unión Española,CHI-Primera Division,27,0.46,0.13,2.37,35.7,0.13,0.35,0.85
Cristian Insaurralde,Unión La Calera,CHI-Primera Division,33,0.26,0.39,1.96,40.0,0.13,0.33,0.78
Franco Lobos,Unión La Calera,CHI-Primera Division,25,0.0,0.25,2.33,10.5,0.0,0.0,0.25
Ignacio Mesías,Unión La Calera,CHI-Primera Division,24,0.15,0.05,2.26,34.1,0.07,0.2,0.77
Leandro Benegas,Unión La Calera,CHI-Primera Division,36,0.29,0.0,2.16,53.3,0.13,0.25,1.15
Sebastián Sáez,Unión La Calera,CHI-Primera Division,40,0.41,0.15,2.13,31.6,0.19,0.61,0.67
Bayron Oyarzo,Ñublense,CHI-Primera Division,28,0.0,0.0,1.28,55.6,0.0,0.0,0.71
Gabriel Graciani,Ñublense,CHI-Primera Division,31,0.21,0.05,2.73,23.5,0.08,0.33,0.64
Gonzalo Sosa,Ñublense,CHI-Primera Division,36,0.61,0.07,4.42,29.2,0.08,0.26,1.29
Lucas Molina,Ñublense,CHI-Primera Division,18,0.14,0.14,1.56,27.3,0.09,0.33,0.42
Matías Plaza,Ñublense,CHI-Primera Division,23,0.14,0.05,2.0,19.0,0.07,0.38,0.38
Patricio Rubio,Ñublense,CHI-Primera Division,35,0.33,0.16,2.89,34.0,0.09,0.28,0.98
Pedro Sánchez,Ñublense,CHI-Primera Division,26,0.2,0.1,2.04,30.0,0.1,0.33,0.61
